"id","game","model","year"
1,"Forza Motorsport","Abarth 124 Spider","2017"
2,"Forza Motorsport","Acura NSX Type S","2022"
3,"Forza Motorsport","Acura #6 ARX-05 DPi","2020"
4,"Forza Motorsport","Acura #36 NSX GT3","2018"
5,"Forza Motorsport","Acura NSX","2017"
6,"Forza Motorsport","Acura Integra Type R","2001"
7,"Forza Motorsport","Alfa Romeo Giulia Quadrifoglio","2017"
8,"Forza Motorsport","Alfa Romeo 4C","2014"
9,"Forza Motorsport","Alfa Romeo Giulietta Quadrifoglio Verde","2011"
10,"Forza Motorsport","Alfa Romeo Giulia Sprint GTA Stradale","1965"
11,"Forza Motorsport","Alpine A110","2017"
12,"Forza Motorsport","Alpine GTA Le Mans","1990"
13,"Forza Motorsport","AMC Javelin AMX","1971"
14,"Forza Motorsport","AMC Rebel The Machine","1970"
15,"Forza Motorsport","Apollo Intensa Emozione","2018"
16,"Forza Motorsport","Ariel Atom 500 V8","2013"
17,"Forza Motorsport","Aston Martin Valkyrie","2023"
18,"Forza Motorsport","Aston Martin Valkyrie AMR Pro","2022"
19,"Forza Motorsport","Aston Martin Valhalla Concept Car","2019"
20,"Forza Motorsport","Aston Martin DBS Superleggera","2019"
21,"Forza Motorsport","Aston Martin Vantage","2019"
22,"Forza Motorsport","Aston Martin #97 AMR Vantage GTE","2018"
23,"Forza Motorsport","Aston Martin Vulcan AMR Pro","2017"
24,"Forza Motorsport","Aston Martin #7 Aston Martin Racing V12 Vantage GT3","2017"
25,"Forza Motorsport","Aston Martin Vanquish Zagato Coupe","2017"
26,"Forza Motorsport","Aston Martin Vulcan","2016"
27,"Forza Motorsport","Aston Martin Vantage GT12","2015"
28,"Forza Motorsport","Aston Martin V12 Vantage S","2013"
29,"Forza Motorsport","Aston Martin DBS","2008"
30,"Forza Motorsport","Aston Martin V12 Vanquish","2001"
31,"Forza Motorsport","Aston Martin V8 Vantage V600","1998"
32,"Forza Motorsport","Aston Martin #18 Aston Martin AMR1","1989"
33,"Forza Motorsport","Aston Martin DBS","1967"
34,"Forza Motorsport","Aston Martin DB5","1964"
35,"Forza Motorsport","Aston Martin DB4 GT Zagato","1960"
36,"Forza Motorsport","Aston Martin DBR1","1958"
37,"Forza Motorsport","Audi RS e-tron GT","2021"
38,"Forza Motorsport","Audi RS 6 Avant","2021"
39,"Forza Motorsport","Audi RS 7 Sportback","2021"
40,"Forza Motorsport","Audi R8 V10 performance","2020"
41,"Forza Motorsport","Audi TT RS Coupe","2020"
42,"Forza Motorsport","Audi RS 3 Sedan","2020"
43,"Forza Motorsport","Audi #44 R8 LMS GT3","2018"
44,"Forza Motorsport","Audi #1 Audi Sport RS 3 LMS","2018"
45,"Forza Motorsport","Audi TT RS","2018"
46,"Forza Motorsport","Audi RS 5 Coupe","2018"
47,"Forza Motorsport","Audi RS 4 Avant","2018"
48,"Forza Motorsport","Audi #17 Rotek Racing TT RS","2016"
49,"Forza Motorsport","Audi R8 V10 plus","2016"
50,"Forza Motorsport","Audi RS 6 Avant","2015"
51,"Forza Motorsport","Audi S1","2015"
52,"Forza Motorsport","Audi #2 Audi Team Joest R18 e-tron quattro","2014"
53,"Forza Motorsport","Audi R8 Coup̩ V10 plus 5.2 FSI quattro","2013"
54,"Forza Motorsport","Audi RS 7 Sportback","2013"
55,"Forza Motorsport","Audi RS 4 Avant","2013"
56,"Forza Motorsport","Audi RS 3 Sportback","2011"
57,"Forza Motorsport","Audi R8 Coup̩ 5.2 FSI quattro","2010"
58,"Forza Motorsport","Audi RS 4","2006"
59,"Forza Motorsport","Audi S4","2004"
60,"Forza Motorsport","Audi RS 6","2003"
61,"Forza Motorsport","Audi RS 4 Avant","2001"
62,"Forza Motorsport","Audi Avant RS 2","1995"
63,"Forza Motorsport","Audi #4 Audi 90 quattro IMSA GTO","1989"
64,"Forza Motorsport","Audi Sport quattro","1984"
65,"Forza Motorsport","Austin-Healey 3000 MkIII","1965"
66,"Forza Motorsport","Auto Union Type D","1939"
67,"Forza Motorsport","Automobili Pininfarina Battista","2020"
68,"Forza Motorsport","BAC Mono","2014"
69,"Forza Motorsport","Bentley Continental Supersports","2017"
70,"Forza Motorsport","Bentley #17 M-Sport Bentley Continental GT3","2014"
71,"Forza Motorsport","Bentley #7 Team Bentley Speed 8","2003"
72,"Forza Motorsport","BMW #25 BMW Team RLL M Hybrid V8","2023"
73,"Forza Motorsport","BMW #96 Turner Motorsports M4 GT3","2023"
74,"Forza Motorsport","BMW M2","2023"
75,"Forza Motorsport","BMW M3 Competition Sedan","2021"
76,"Forza Motorsport","BMW M4 Competition Coup̩","2021"
77,"Forza Motorsport","BMW M8 Competition Coup̩","2020"
78,"Forza Motorsport","BMW M2 Competition Coup̩","2020"
79,"Forza Motorsport","BMW Z4 Roadster","2019"
80,"Forza Motorsport","BMW #1 BMW M Motorsport M8 GTE","2018"
81,"Forza Motorsport","BMW M5","2018"
82,"Forza Motorsport","BMW #24 BMW Team RLL M6 GTLM","2017"
83,"Forza Motorsport","BMW M4 GTS","2016"
84,"Forza Motorsport","BMW i8","2015"
85,"Forza Motorsport","BMW M4 Coup̩","2014"
86,"Forza Motorsport","BMW M6 Coup̩","2013"
87,"Forza Motorsport","BMW M5","2012"
88,"Forza Motorsport","BMW 1 Series M Coup̩","2011"
89,"Forza Motorsport","BMW M3 GTS","2010"
90,"Forza Motorsport","BMW M6 Coup̩","2010"
91,"Forza Motorsport","BMW M5","2009"
92,"Forza Motorsport","BMW M3","2008"
93,"Forza Motorsport","BMW M3","2005"
94,"Forza Motorsport","BMW M5","2003"
95,"Forza Motorsport","BMW M3-GTR","2002"
96,"Forza Motorsport","BMW Z3 M Coup̩","2002"
97,"Forza Motorsport","BMW 323ti Sport","2000"
98,"Forza Motorsport","BMW #16 BMW V12 LMR","1999"
99,"Forza Motorsport","BMW #15 BMW Motorsport V12 LMR","1999"
100,"Forza Motorsport","BMW M3","1997"
101,"Forza Motorsport","BMW 850CSi","1995"
102,"Forza Motorsport","BMW M3","1991"
103,"Forza Motorsport","BMW M5","1988"
104,"Forza Motorsport","BMW M635 CSi","1986"
105,"Forza Motorsport","BMW M1","1981"
106,"Forza Motorsport","BMW #6 BMW Motorsport M1 Procar","1979"
107,"Forza Motorsport","BMW #1 BMW 3.0 CSL","1976"
108,"Forza Motorsport","BMW #25 BMW Motorsport 3.0 CSL","1975"
109,"Forza Motorsport","BMW 2002 Turbo","1973"
110,"Forza Motorsport","Brabham BT62","2019"
111,"Forza Motorsport","Brabham BT24","1967"
112,"Forza Motorsport","Brabham BT8","1964"
113,"Forza Motorsport","BRM #14 Team Motul P201","1974"
114,"Forza Motorsport","Bugatti Divo","2019"
115,"Forza Motorsport","Bugatti Chiron","2018"
116,"Forza Motorsport","Bugatti Veyron Super Sport","2011"
117,"Forza Motorsport","Bugatti EB110 Super Sport","1992"
118,"Forza Motorsport","Bugatti Type 35 C","1926"
119,"Forza Motorsport","Buick Regal GNX","1987"
120,"Forza Motorsport","Buick #6 Performance Motorsports Somerset Regal Trans-Am","1985"
121,"Forza Motorsport","Buick GSX","1970"
122,"Forza Motorsport","Cadillac #31 Whelen Engineering Cadillac Racing V-Series.R","2023"
123,"Forza Motorsport","Cadillac #2 Cadillac Racing V-Series.R","2023"
124,"Forza Motorsport","Cadillac #01 Cadillac Racing V-Series.R","2023"
125,"Forza Motorsport","Cadillac CT5-V Blackwing","2022"
126,"Forza Motorsport","Cadillac CT4-V Blackwing","2022"
127,"Forza Motorsport","Cadillac #31 Whelen Racing DPi-V.R","2021"
128,"Forza Motorsport","Cadillac #57 TA CTS-V","2018"
129,"Forza Motorsport","Cadillac CTS-V Sedan","2016"
130,"Forza Motorsport","Cadillac ATS-V","2016"
131,"Forza Motorsport","Cadillac #3 Cadillac Racing ATS-V.R","2015"
132,"Forza Motorsport","Cadillac CTS-V Sport Wagon","2014"
133,"Forza Motorsport","Caterham Superlight R500","2013"
134,"Forza Motorsport","Chaparral #66 Chaparral Cars 2E","1966"
135,"Forza Motorsport","Chevrolet NASCAR Next Gen Camaro ZL1","2024"
136,"Forza Motorsport","Chevrolet Corvette E-Ray","2024"
137,"Forza Motorsport","Chevrolet Corvette Z06","2023"
138,"Forza Motorsport","Chevrolet #3 Corvette Racing C8.R","2020"
139,"Forza Motorsport","Chevrolet Corvette Stingray Coupe Forza Edition","2020"
140,"Forza Motorsport","Chevrolet Corvette Stingray Coupe","2020"
141,"Forza Motorsport","Chevrolet Corvette ZR1","2019"
